date,adjclose
2024-08-26,109.12035369873047
2024-08-27,109.78154754638672
2024-08-28,108.26673889160156
2024-08-29,107.28975677490234
2024-08-30,108.71575164794922
2024-09-03,103.72230529785156
2024-09-04,103.45586395263672
2024-09-05,103.29798126220703
2024-09-06,100.61868286132812
2024-09-09,102.2667236328125
2024-09-10,103.79631805419922
2024-09-11,107.33909606933594
2024-09-12,108.22725677490234
2024-09-13,108.77002716064453
2024-09-16,108.35553741455078
2024-09-17,108.14337921142578
2024-09-18,107.15653991699219
2024-09-19,110.339111328125
2024-09-20,109.80127716064453
2024-09-23,109.781005859375
2024-09-24,110.53236389160156
2024-09-25,110.84872436523438
2024-09-26,112.31681823730469
2024-09-27,111.26888275146484
2024-09-30,111.59512329101562
2024-10-01,108.87642669677734
2024-10-02,109.68214416503906
2024-10-03,110.13691711425781
2024-10-04,111.36280059814453
2024-10-07,110.59661865234375
2024-10-08,112.66283416748047
2024-10-09,113.9233169555664
2024-10-10,113.89366149902344
2024-10-11,114.09139251708984
2024-10-14,115.5792465209961
2024-10-15,113.03850555419922
2024-10-16,113.38946533203125
2024-10-17,113.73548126220703
2024-10-18,114.14082336425781
2024-10-21,114.67467498779297
2024-10-22,114.5560302734375
2024-10-23,112.91492462158203
2024-10-24,113.24613189697266
2024-10-25,113.83434295654297
2024-10-28,113.79975128173828
2024-10-29,115.33209991455078
2024-10-30,113.49821472167969
2024-10-31,109.85517120361328
2024-11-01,110.68065643310547
2024-11-04,110.59661865234375
2024-11-05,112.15369415283203
2024-11-06,115.346923828125
2024-11-07,117.35877227783203
2024-11-08,117.2302474975586
2024-11-11,116.58271026611328
2024-11-12,116.73098754882812
2024-11-13,116.32565307617188
2024-11-14,115.9301986694336
2024-11-15,113.05332946777344
2024-11-18,113.41912078857422
2024-11-19,114.34841918945312
2024-11-20,114.24955749511719
2024-11-21,115.41119384765625
2024-11-22,115.47051239013672
2024-11-25,115.465576171875
2024-11-26,116.04390716552734
2024-11-27,114.47200012207031
2024-11-29,115.53477478027344
2024-12-02,116.63212585449219
2024-12-03,117.05229187011719
2024-12-04,119.19264221191406
2024-12-05,118.58960723876953
2024-12-06,119.04930877685547
2024-12-09,118.27323913574219
2024-12-10,116.63212585449219
2024-12-11,118.32266235351562
2024-12-12,117.66029357910156
2024-12-13,118.16449737548828
2024-12-16,119.34587860107422
2024-12-17,118.62419128417969
2024-12-18,114.79825592041016
2024-12-19,114.92181396484375
2024-12-20,116.6370849609375
2024-12-23,117.87288665771484
2024-12-24,119.09088897705078
2024-12-26,119.17008972167969
2024-12-27,117.5857162475586
2024-12-30,116.09046173095703
2024-12-31,115.1249771118164
2025-01-02,114.85267639160156
2025-01-03,116.72421264648438
2025-01-06,118.2095718383789
2025-01-07,115.83795928955078
2025-01-08,115.79834747314453
2025-01-10,113.27323150634766
2025-01-13,112.47115325927734
2025-01-14,112.76820373535156
2025-01-15,115.01109313964844
2025-01-16,114.12483978271484
2025-01-17,115.91221618652344
2025-01-21,116.87770080566406
2025-01-22,119.51668548583984
2025-01-23,119.72958374023438
2025-01-24,118.48187255859375
2025-01-27,112.67414855957031
2025-01-28,115.67951202392578
2025-01-29,114.7387924194336
2025-01-30,114.95169067382812
2025-01-31,114.27832794189453
2025-02-03,112.73851013183594
2025-02-04,114.36249542236328
2025-02-05,115.95182800292969
2025-02-06,116.2686996459961
2025-02-07,115.27352142333984
2025-02-10,116.95691680908203
2025-02-11,117.0113754272461
2025-02-12,116.75886535644531
2025-02-13,118.41256713867188
2025-02-14,118.81360626220703
2025-02-18,119.89793395996094
2025-02-19,119.90782165527344
2025-02-20,119.5265884399414
2025-02-21,116.28850555419922
2025-02-24,114.62491607666016
2025-02-25,113.1395492553711
2025-02-26,114.37239837646484
2025-02-27,110.20845031738281
2025-02-28,111.66410064697266
2025-03-03,108.2676010131836
2025-03-04,108.18341064453125
2025-03-05,109.70343780517578
2025-03-06,106.658447265625
2025-03-07,108.20320129394531
2025-03-10,103.60356903076172
2025-03-11,103.18272399902344
2025-03-12,104.80670928955078
2025-03-13,102.81633758544922
2025-03-14,105.9256820678711
2025-03-17,106.66339874267578
2025-03-18,105.03941345214844
2025-03-19,106.40593719482422
2025-03-20,105.6484146118164
2025-03-21,105.93558502197266
2025-03-24,107.94186401367188
2025-03-25,108.29896545410156
2025-03-26,105.88349151611328
2025-03-27,104.90640258789062
2025-03-28,102.36199188232422
2025-03-31,102.41157531738281
2025-04-01,103.1605224609375
2025-04-02,103.92434692382812
2025-04-03,96.83172607421875
2025-04-04,90.45331573486328
2025-04-07,90.99394226074219
2025-04-08,89.14390563964844
2025-04-09,101.11209106445312
2025-04-10,96.40516662597656
2025-04-11,98.37919616699219
2025-04-14,99.27693939208984
2025-04-15,99.63900756835938
2025-04-16,96.17701721191406
2025-04-17,95.6562271118164
2025-04-21,93.18621826171875
2025-04-22,95.45783233642578
2025-04-23,98.2254409790039
2025-04-24,101.89079284667969
2025-04-25,103.39860534667969
2025-04-28,103.22996520996094
2025-04-29,103.71107482910156
2025-04-30,104.142578125
2025-05-01,105.67021942138672
2025-05-02,107.4359359741211
2025-05-05,106.86556243896484
2025-05-06,105.97772979736328
2025-05-07,107.03914642333984
2025-05-08,108.0608901977539
2025-05-09,107.92696380615234
2025-05-12,112.93644714355469
2025-05-13,115.37670135498047
2025-05-14,116.12564849853516
2025-05-15,116.28436279296875
2025-05-16,116.50259399414062
2025-05-19,116.3339614868164
2025-05-20,115.8974838256836
2025-05-21,113.72010040283203
2025-05-22,113.7498550415039
2025-05-23,112.49501037597656
2025-05-27,115.16838836669922
2025-05-28,114.69225311279297
2025-05-29,114.88568115234375
2025-05-30,114.52857208251953
2025-06-02,115.54037475585938
2025-06-03,117.27633666992188
2025-06-04,117.44993591308594
2025-06-05,117.11763000488281
2025-06-06,118.22367858886719
2025-06-09,118.80398559570312
2025-06-10,119.4686050415039
2025-06-11,119.20572662353516
2025-06-12,120.31178283691406
2025-06-13,118.62542724609375
2025-06-16,120.5448989868164
2025-06-17,119.69180297851562
2025-06-18,119.83563995361328
2025-06-20,119.304931640625
2025-06-23,120.66519927978516
2025-06-24,122.83129119873047
2025-06-25,123.87956237792969
2025-06-26,124.73407745361328
2025-06-27,124.58503723144531
2025-06-30,125.80717468261719
2025-07-01,124.68439483642578
2025-07-02,126.00093841552734
2025-07-03,127.66028594970703
2025-07-07,126.64679718017578
2025-07-08,127.32743072509766
2025-07-09,128.09249877929688
2025-07-10,127.67022705078125
2025-07-11,127.10882568359375
2025-07-14,127.0044937133789
2025-07-15,128.1322479248047
2025-07-16,128.5297088623047
2025-07-17,129.6971893310547
2025-07-18,129.61276245117188
2025-07-21,129.7816619873047
2025-07-22,128.5793914794922
2025-07-23,129.31468200683594
2025-07-24,129.86114501953125
2025-07-25,130.15924072265625
2025-07-28,131.19754028320312
2025-07-29,131.20254516601562
2025-07-30,131.49563598632812
2025-07-31,130.53184509277344
2025-08-01,127.7149429321289
2025-08-04,130.30828857421875
2025-08-05,129.23020935058594
2025-08-06,130.68585205078125
2025-08-07,130.80506896972656
2025-08-08,132.11170959472656
2025-08-11,131.21743774414062
2025-08-12,133.24937438964844
2025-08-13,133.299072265625
2025-08-14,133.0109405517578
2025-08-15,132.00241088867188
2025-08-18,132.28558349609375
2025-08-19,129.9754180908203
2025-08-20,129.09605407714844
2025-08-21,128.6290740966797
2025-08-22,130.3728790283203
2025-08-25,130.07974243164062
2025-08-26,130.6759033203125
2025-08-27,131.38140869140625
