date,adjclose
2024-08-26,215.15440368652344
2024-08-27,213.48545837402344
2024-08-28,212.04103088378906
2024-08-29,213.55377197265625
2024-08-30,214.79327392578125
2024-09-03,208.2249298095703
2024-09-04,207.87359619140625
2024-09-05,206.83901977539062
2024-09-06,202.9058380126953
2024-09-09,203.471923828125
2024-09-10,203.30599975585938
2024-09-11,203.90135192871094
2024-09-12,206.5267333984375
2024-09-13,211.62132263183594
2024-09-16,212.38259887695312
2024-09-17,214.1393585205078
2024-09-18,214.1783905029297
2024-09-19,218.58981323242188
2024-09-20,216.2474822998047
2024-09-23,215.4569091796875
2024-09-24,215.8180389404297
2024-09-25,213.18568420410156
2024-09-26,214.3216552734375
2024-09-27,215.7710418701172
2024-09-30,216.31948852539062
2024-10-01,213.3815460205078
2024-10-02,213.08773803710938
2024-10-03,211.65794372558594
2024-10-04,214.61546325683594
2024-10-07,212.9310302734375
2024-10-08,213.07794189453125
2024-10-09,213.5480194091797
2024-10-10,212.36306762695312
2024-10-11,216.68179321289062
2024-10-14,218.27806091308594
2024-10-15,218.45436096191406
2024-10-16,222.04843139648438
2024-10-17,221.4412384033203
2024-10-18,220.98095703125
2024-10-21,217.50440979003906
2024-10-22,216.68179321289062
2024-10-23,214.70359802246094
2024-10-24,215.1736602783203
2024-10-25,214.36083984375
2024-10-28,217.85696411132812
2024-10-29,217.15185546875
2024-10-30,216.85806274414062
2024-10-31,213.2542266845703
2024-11-01,214.448974609375
2024-11-04,215.5360107421875
2024-11-05,219.59033203125
2024-11-06,232.3115692138672
2024-11-07,231.48895263671875
2024-11-08,233.19293212890625
2024-11-11,236.69886779785156
2024-11-12,232.54660034179688
2024-11-13,230.24520874023438
2024-11-14,227.14080810546875
2024-11-15,223.7523956298828
2024-11-18,224.19308471679688
2024-11-19,225.85792541503906
2024-11-20,226.15171813964844
2024-11-21,229.58909606933594
2024-11-22,233.82949829101562
2024-11-25,237.38436889648438
2024-11-26,235.64120483398438
2024-11-27,235.9644012451172
2024-11-29,236.86532592773438
2024-12-02,236.7478485107422
2024-12-03,235.06341552734375
2024-12-04,235.9056396484375
2024-12-05,233.1537628173828
2024-12-06,233.98617553710938
2024-12-09,232.81101989746094
2024-12-10,231.80230712890625
2024-12-11,232.85018920898438
2024-12-12,229.82411193847656
2024-12-13,228.24745178222656
2024-12-16,229.58909606933594
2024-12-17,226.960693359375
2024-12-18,216.91259765625
2024-12-19,215.95004272460938
2024-12-20,217.97341918945312
2024-12-23,217.4724578857422
2024-12-24,219.41726684570312
2024-12-26,221.66651916503906
2024-12-27,218.43505859375
2024-12-30,216.75543212890625
2024-12-31,217.0304718017578
2025-01-02,217.207275390625
2025-01-03,220.43875122070312
2025-01-06,220.5271759033203
2025-01-07,218.75917053222656
2025-01-08,217.7671356201172
2025-01-10,212.9739227294922
2025-01-13,213.38644409179688
2025-01-14,215.81253051757812
2025-01-15,220.05567932128906
2025-01-16,220.49769592285156
2025-01-17,221.45045471191406
2025-01-21,225.70343017578125
2025-01-22,224.23011779785156
2025-01-23,225.2516326904297
2025-01-24,224.6230010986328
2025-01-27,222.47193908691406
2025-01-28,222.71751403808594
2025-01-29,222.20675659179688
2025-01-30,224.46585083007812
2025-01-31,222.4523162841797
2025-02-03,219.84942626953125
2025-02-04,222.89430236816406
2025-02-05,225.3203582763672
2025-02-06,224.5836944580078
2025-02-07,221.98081970214844
2025-02-10,222.9827117919922
2025-02-11,221.68617248535156
2025-02-12,219.64317321777344
2025-02-13,222.11834716796875
2025-02-14,221.95138549804688
2025-02-18,223.16932678222656
2025-02-19,222.40321350097656
2025-02-20,220.27178955078125
2025-02-21,213.92666625976562
2025-02-24,212.3845977783203
2025-02-25,211.5791778564453
2025-02-26,211.8443603515625
2025-02-27,208.61288452148438
2025-02-28,210.83267211914062
2025-03-03,205.06707763671875
2025-03-04,202.7490692138672
2025-03-05,204.76258850097656
2025-03-06,201.62933349609375
2025-03-07,202.2873992919922
2025-03-10,197.19955444335938
2025-03-11,197.17987060546875
2025-03-12,197.52366638183594
2025-03-13,194.57701110839844
2025-03-14,199.28184509277344
2025-03-17,201.79629516601562
2025-03-18,200.04403686523438
2025-03-19,203.15480041503906
2025-03-20,201.86520385742188
2025-03-21,200.614990234375
2025-03-24,205.60601806640625
2025-03-25,204.46405029296875
2025-03-26,202.38694763183594
2025-03-27,201.42222595214844
2025-03-28,197.3270263671875
2025-03-31,196.38198852539062
2025-04-01,196.40167236328125
2025-04-02,199.50259399414062
2025-04-03,186.69528198242188
2025-04-04,178.3671112060547
2025-04-07,176.7526397705078
2025-04-08,172.09634399414062
2025-04-09,186.72483825683594
2025-04-10,178.87901306152344
2025-04-11,181.4877166748047
2025-04-14,183.6239013671875
2025-04-15,183.8502960205078
2025-04-16,182.0882110595703
2025-04-17,183.57469177246094
2025-04-21,179.89295959472656
2025-04-22,184.5492706298828
2025-04-23,187.28594970703125
2025-04-24,191.0365753173828
2025-04-25,191.09564208984375
2025-04-28,191.90289306640625
2025-04-29,193.0349578857422
2025-04-30,191.82412719726562
2025-05-01,193.01528930664062
2025-05-02,197.35655212402344
2025-05-05,195.84056091308594
2025-05-06,193.7043914794922
2025-05-07,194.34422302246094
2025-05-08,198.045654296875
2025-05-09,197.68142700195312
2025-05-12,204.6314239501953
2025-05-13,205.37957763671875
2025-05-14,203.5584259033203
2025-05-15,204.8873748779297
2025-05-16,206.58059692382812
2025-05-19,205.71429443359375
2025-05-20,205.82257080078125
2025-05-21,200.04403686523438
2025-05-22,200.03421020507812
2025-05-23,199.40415954589844
2025-05-27,204.46405029296875
2025-05-28,202.3081817626953
2025-05-29,202.90870666503906
2025-05-30,201.87506103515625
2025-06-02,202.50509643554688
2025-06-03,205.7733612060547
2025-06-04,205.1925506591797
2025-06-05,205.28114318847656
2025-06-06,208.5986328125
2025-06-09,210.03590393066406
2025-06-10,211.16798400878906
2025-06-11,210.30169677734375
2025-06-12,209.4649200439453
2025-06-13,205.63552856445312
2025-06-16,208.05996704101562
2025-06-17,205.86851501464844
2025-06-18,206.95436096191406
2025-06-20,206.52001953125
2025-06-23,209.047119140625
2025-06-24,211.71238708496094
2025-06-25,209.24453735351562
2025-06-26,212.64031982421875
2025-06-27,212.7093963623047
2025-06-30,213.01541137695312
2025-07-01,215.2068634033203
2025-07-02,218.1880340576172
2025-07-03,220.21168518066406
2025-07-07,216.90476989746094
2025-07-08,218.40521240234375
2025-07-09,220.77435302734375
2025-07-10,221.90957641601562
2025-07-11,218.8494415283203
2025-07-14,220.3202667236328
2025-07-15,216.00645446777344
2025-07-16,218.1781768798828
2025-07-17,221.04087829589844
2025-07-18,219.47132873535156
2025-07-21,218.58290100097656
2025-07-22,220.3992462158203
2025-07-23,223.765380859375
2025-07-24,220.67564392089844
2025-07-25,221.49496459960938
